state_(land),district_(kreis),regional_designation,municipality_name_(gemeindename),municipality_designation,area_km2,population_total,male,female,per_km2,postal_code,longitude,latitude
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Worth,,6.07,167,76,91,28,21502,"10,408431","53,467545"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Basedow,,7.47,612,305,307,82,21483,"10,583592","53,416151"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Buchhorst,,5.19,148,69,79,29,21481,"10,568335","53,384993"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Dalldorf,,6.05,346,166,180,57,21483,"10,610487","53,435521"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Juliusburg,,6.03,187,92,95,31,21483,"10,506484","53,41715"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Krüzen,,8.24,374,189,185,45,21483,"10,527113","53,401518"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Krukow,,7.94,160,83,77,20,21483,"10,478187","53,418864"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Lanze,,9.04,266,139,127,29,21483,"10,604387","53,386341"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Lütau,,11.24,659,335,324,59,21483,"10,545404","53,435861"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Schnakenbek,,13.02,904,432,472,69,21481,"10,50018","53,385426"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Wangelau,,6.52,206,101,105,32,21483,"10,546567","53,453726"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Albsfelde,,4.18,72,35,37,17,23909,"10,694451","53,679957"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Bäk,,4.30,921,435,486,214,23909,"10,787081","53,716345"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Brunsmark,,4.29,156,75,81,36,23883,"10,750236","53,617106"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Buchholz,,2.93,238,122,116,81,23911,"10,745377","53,731393"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Einhaus,,2.53,451,214,237,178,23911,"10,725697","53,714136"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Fredeburg,,10.09,47,27,20,5,23909,"10,72727","53,674253"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Giesensdorf,,2.73,174,83,91,64,23909,"10,713651","53,688273"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Groß Disnack,,5.99,85,43,42,14,23911,"10,69059","53,741974"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Groß Grönau,,4.90,3782,1784,1998,772,23627,"10,750476","53,801387"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Groß Sarau,,17.08,1105,549,556,65,23627,"10,737415","53,771827"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Harmsdorf,,3.57,311,162,149,87,23911,"10,725868","53,700407"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Hollenbek,,7.21,464,241,223,64,23883,"10,819794","53,592298"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Horst,,12.05,278,141,137,23,23883,"10,77065","53,638591"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Kittlitz,,17.73,296,154,142,17,23911,"10,918244","53,664141"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Klein Zecher,,9.11,246,115,131,27,23883,"10,872803","53,577413"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Kulpin,,6.07,215,103,112,35,23911,"10,695812","53,71009"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Mechow,,4.43,132,61,71,30,23909,"10,801815","53,717556"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Mustin,,11.88,725,350,375,61,23911,"10,886235","53,68453"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Pogeez,,4.51,513,237,276,114,23911,"10,729435","53,750929"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Römnitz,,5.15,62,32,30,12,23909,"10,768957","53,710121"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Salem,,25.10,686,333,353,27,23911,"10,827965","53,656405"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Schmilau,,11.55,560,279,281,48,23911,"10,75597","53,664589"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Seedorf,,27.88,581,284,297,21,23883,"10,866858","53,619223"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Sterley,,21.39,933,464,469,44,23883,"10,817631","53,620115"
