Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Heinersreuth;2690;446;16.57992565055762
Heiningen;3484;728;20.895522388059703
Heinkenborstel;85;20;23.529411764705884
Heinrichsthal;590;113;19.152542372881356
Heinrichswalde;194;122;62.88659793814433
Heinsberg, Stadt;25096;4869;19.401498246732547
Heinsdorfergrund;1400;579;41.357142857142854
Heinsen;382;99;25.916230366492147
Heinzenbach;161;51;31.677018633540374
Heinzenhausen;109;40;36.69724770642202
Heisdorf;39;7;17.94871794871795
Heist;1507;266;17.650962176509623
Heistenbach;405;95;23.45679012345679
Heitersheim, Stadt;3770;550;14.588859416445624
Helbedündorf;1224;568;46.40522875816993
Helbra;2439;1148;47.068470684706845
Heldburg, Stadt;1828;964;52.735229759299784
Heldenstein;1868;447;23.92933618843683
Helferskirchen;414;127;30.67632850241546
Helgoland;866;91;10.508083140877599
Hellenhahn-Schellenberg;405;135;33.333333333333336
Hellenthal;5329;1101;20.660536686057423
Hellertshausen;69;21;30.434782608695652
Hellschen-Heringsand-Unterschaar;90;21;23.333333333333332
Hellwege;656;87;13.262195121951219
Helmbrechts, St;5414;1368;25.267824159586258
Helmenzen;340;116;34.11764705882353
Helmeroth;99;20;20.2020202020202
Helmstadt, M;1817;284;15.630159603742433
Helmstadt-Bargen;2400;647;26.958333333333332
Helmstedt, Stadt;14506;3597;24.796635874810423
Helmstorf;185;18;9.72972972972973
Helpsen;954;206;21.59329140461216
Helsa;3532;832;23.556058890147224
Helse;452;107;23.672566371681416
Heltersberg;718;206;28.690807799442897
Helvesiek;494;88;17.813765182186234
Hemau, St;5854;1443;24.6498120942945
Hemdingen;983;185;18.819938962360123
Hemer, Stadt;19832;4457;22.47377974989915
Hemhofen;3531;591;16.7374681393373
Hemme;211;45;21.327014218009477
Hemmelzen;96;32;33.333333333333336
Hemmersheim;471;100;21.231422505307854
Hemmingen;4547;954;20.980866505388168
Hemmingen, Stadt;12783;1600;12.516623640772902
Hemmingstedt;1453;329;22.64280798348245
Hemmoor, Stadt;3710;1060;28.571428571428573
Hemsbach, Stadt;7177;1436;20.008360039013514
Hemsbünde;625;143;22.88
Hemslingen;741;171;23.076923076923077
Hemsloh;237;46;19.40928270042194
Henau;68;16;23.529411764705884
Hendungen;609;0;0.0
Henfenfeld;1179;193;16.369804919423242
Henfstädt;169;102;60.35502958579882
Hengersberg, M;4670;1300;27.8372591006424
Hennef (Sieg), Stadt;31202;5164;16.550221139670533
Hennigsdorf, Stadt;16264;5256;32.316773241515
Hennstedt (einschl. Bergewöhrden);1000;273;27.3
Hennstedt (einschl. Wiedenborstel);357;99;27.73109243697479
Hennweiler;513;145;28.265107212475634
Henschtal;138;41;29.71014492753623
Henstedt-Ulzburg;18785;2978;15.85307426137876
Hentern;174;40;22.988505747126435
Hepberg;1821;347;19.055464030752333
Heppenheim (Bergstraße), Kreisstadt;16085;2552;15.86571339757538
Hepstedt;577;99;17.157712305025996
Herbertingen;2991;822;27.482447342026077
Herbolzheim, Stadt;6360;1336;21.0062893081761
Herborn;206;42;20.388349514563107
Herborn, Stadt;12061;2454;20.346571594395158
Herbrechtingen, Stadt;7732;2011;26.00879461976203
Herbsleben;1455;792;54.43298969072165
Herbstadt;414;0;0.0
Herbstein, Stadt;3070;644;20.977198697068403
Herbstmühle (in Rodershausen enthalten);0;0;
Herchweiler;203;70;34.48275862068966
Herdecke, Stadt;15376;2215;14.405567117585848
Herdorf, Stadt;2338;610;26.090675791274595
Herdwangen-Schönach;2239;557;24.877177311299686
Heretsried;726;191;26.308539944903583
Herford, Hansestadt;36706;7818;21.298970195608348
Herforst;317;109;34.38485804416404
Hergatz;1667;298;17.876424715056988
Hergenfeld;224;22;9.821428571428571
Hergenroth;204;81;39.705882352941174
Hergensweiler;1278;232;18.15336463223787
Hergersweiler;106;37;34.905660377358494
Hergisdorf;966;452;46.79089026915114
Heringen (Werra), Stadt;4535;1165;25.689084895259096
Heringen/Helme, Stadt;2360;1092;46.271186440677965
Heringsdorf;565;117;20.707964601769913
Heringsdorf, Ostseebad;5078;2274;44.78141000393856
Herl;72;21;29.166666666666668
Herleshausen;1822;387;21.2403951701427
Hermaringen;1493;334;22.371064969859344
Hermersberg;510;119;23.333333333333332
Hermeskeil, Stadt;1617;495;30.612244897959183
Hermsdorf;454;271;59.691629955947135
Hermsdorf, Stadt;3295;1362;41.33535660091047
Hermsdorf/Erzgeb.;519;266;51.252408477842
Herne, Stadt;79873;17740;22.210258785822493
Herold;174;37;21.264367816091955
Heroldsbach;3676;630;17.138193688792164
Heroldsberg, M;5622;739;13.144788331554606
Heroldstatt;1946;437;22.456320657759505
Herren-Sulzbach;84;22;26.19047619047619
Herrenberg, Stadt;19483;2934;15.05928245136786
Herresbach;208;42;20.192307692307693
Herrieden, St;5470;1122;20.511882998171846
Herrischried;1507;388;25.746516257465164
Herrngiersdorf;859;175;20.372526193247964
Herrnhut, Stadt;3597;1663;46.23297192104531
Herrsching a.Ammersee;6677;709;10.61854126104538
Herrstein;283;101;35.68904593639576
Hersbruck, St;7862;1176;14.958025947596031
Herschbach;1046;268;25.621414913957935
Herschbach (Oberwesterwald);323;81;25.077399380804952
Herschberg;283;87;30.742049469964666
Herschbroich;88;20;22.727272727272727
Herscheid;4621;1061;22.96039818221164
Herschweiler-Pettersheim;455;156;34.285714285714285
Hersdorf;155;42;27.096774193548388
Herten, Stadt;34190;7269;21.260602515355366
Herxheim am Berg;511;93;18.199608610567516
Herxheim bei Landau/ Pfalz;3304;840;25.423728813559322
Herxheimweyher;184;44;23.91304347826087
Herzberg (Elster), Stadt;5515;2273;41.21486854034451
Herzberg (Mark);328;159;48.47560975609756
Herzberg am Harz, Stadt;7791;1647;21.139776665383135
Herzebrock-Clarholz;10056;1729;17.193715194908513
Herzfeld (in Leidenborn enthalten);0;0;
Herzhorn;636;126;19.81132075471698
Herzlake;2259;468;20.717131474103585
Herzogenaurach, St;14615;2225;15.224084844338009
Herzogenrath, Stadt;27880;0;0.0
Hesel;2312;564;24.39446366782007
Hespe;1048;218;20.801526717557252
Hessigheim;1433;316;22.051639916259596
Hessisch Lichtenau, Stadt;7276;1599;21.97636063771303
Hessisch Oldendorf, Stadt;11557;2671;23.111534135156184
Hesweiler;63;25;39.682539682539684
Hetlingen;739;124;16.779431664411366
Hetschburg;127;42;33.07086614173228
Hettenhausen;85;28;32.94117647058823
Hettenleidelheim;1027;258;25.121713729308667
Hettenrodt;253;35;13.83399209486166
Hettenshausen;1334;214;16.041979010494753
Hettingen, Stadt;1283;304;23.694466095089634
Hettstadt;2602;358;13.758647194465796
Hettstedt, Stadt;7690;3525;45.838751625487646
Hetzerath;826;132;15.980629539951574
Hetzles;1020;147;14.411764705882353
Heubach, Stadt;5664;1338;23.622881355932204
Heuchelheim a. d. Lahn;4962;712;14.349052801289803
Heuchelheim bei Frankenthal;437;124;28.37528604118993
Heuchelheim-Klingen;282;55;19.50354609929078
Heuchlingen;1265;258;20.395256916996047
Heuerßen;514;107;20.817120622568094
Heukewalde;118;51;43.220338983050844
Heupelzen;121;32;26.446280991735538
Heusenstamm, Stadt;10706;1556;14.53390622081076
Heustreu;936;0;0.0
Heusweiler;12190;2452;20.114848236259228
Heuthen;427;235;55.03512880562061
Heuweiler;778;81;10.411311053984576
Heuzert;45;14;31.11111111111111
Heyen;208;27;12.98076923076923
Heyersdorf;78;33;42.30769230769231
Heßdorf;2487;409;16.44551668677121
Heßheim;996;288;28.91566265060241
Hiddenhausen;12783;2518;19.698036454666354
Hilbersdorf;129;47;36.434108527131784
Hilchenbach, Stadt;9359;2050;21.904049577946363
Hildburghausen, Stadt;6281;3128;49.80098710396434
Hilden, Stadt;34302;5517;16.08361028511457
Hilders, Marktgemeinde;3151;711;22.564265312599176
Hildesheim, Stadt;58904;8767;14.883539318212685
Hildrizhausen;2237;372;16.62941439427805
Hilgenroth;132;40;30.303030303030305
Hilgermissen;1117;210;18.800358102059086
Hilgert;463;119;25.70194384449244
Hilgertshausen-Tandern;2276;441;19.37609841827768
Hilkenbrook;433;65;15.011547344110854
Hille;10790;1994;18.480074142724746
Hillerse;1330;260;19.548872180451127
Hillesheim;411;119;28.953771289537713
Hillesheim, Stadt;900;221;24.555555555555557
Hillscheid;800;187;23.375
Hilpoltstein, St;9058;1323;14.605873261205565
Hilscheid;106;33;31.132075471698112
Hilst;114;24;21.05263157894737
Hiltenfingen;1035;222;21.44927536231884
Hilter am Teutoburger Wald;6793;1019;15.000736051818048
Hiltpoltstein, M;1111;220;19.801980198019802
Hilzingen;5647;1239;21.94085355055782
Himbergen;960;222;23.125
Himmelkron;2152;401;18.633828996282528
Himmelpforten;2594;704;27.139552814186583
Himmelstadt;1129;143;12.66607617360496
Himmighofen;161;24;14.906832298136646
Hingstheide;48;14;29.166666666666668
Hinrichshagen;519;209;40.26974951830443
Hinte;4929;951;19.293974437005478
Hinterschmiding;1656;442;26.690821256038646
Hintersee;163;95;58.282208588957054
Hintertiefenbach;165;42;25.454545454545453
Hinterweidenthal;436;132;30.275229357798164
Hinterweiler;83;12;14.457831325301205
Hinterzarten;1491;175;11.737089201877934
Hinzenburg;63;7;11.11111111111111
Hinzert-Pölert;117;36;30.76923076923077
Hinzweiler;144;39;27.083333333333332
Hipstedt;683;132;19.32650073206442
Hirrlingen;2000;391;19.55
Hirschaid, M;8409;1947;23.153763824473778
Hirschau, St;3907;841;21.52546711031482
Hirschbach;795;162;20.37735849056604
Hirschberg;155;43;27.741935483870968
Hirschberg an der Bergstraße;6448;804;12.468982630272953
Hirschberg, Stadt;1319;691;52.38817285822593
Hirschfeld;1446;757;52.35131396957123
Hirschfeld (Hunsrück);115;25;21.73913043478261
Hirschfeld (in Bethenhausen enthalten);0;0;
Hirschhorn (Neckar), Stadt;2059;416;20.20398251578436
Hirschhorn/ Pfalz;473;138;29.175475687103596
Hirschstein;1363;684;50.183418928833454
Hirschthal;36;11;30.555555555555557
Hirten;110;30;27.272727272727273
Hirz-Maulsbach;126;14;11.11111111111111
Hirzenhain;1732;535;30.889145496535797
Hittbergen;529;108;20.415879017013232
Hitzacker (Elbe), Stadt;2127;400;18.805829807240244
Hitzhofen;2094;366;17.478510028653297
Hitzhusen;680;116;17.058823529411764
Hochborn;158;39;24.68354430379747
Hochdonn;567;171;30.158730158730158
Hochdorf;4721;853;18.068205888582927
Hochdorf-Assenheim;2017;438;21.715418939018345
Hochheim am Main, Stadt;11595;1935;16.6882276843467
Hochkirch / Bukecy;1501;785;52.298467688207865
Hochscheid;115;24;20.869565217391305
Hochspeyer;1501;474;31.57894736842105
Hochstadt (Pfalz);845;207;24.497041420118343
Hochstadt a.Main;1105;243;21.990950226244344
Hochstetten-Dhaun;628;181;28.821656050955415
Hochstätten;252;63;25.0
Hockenheim, Stadt;11753;2593;22.06245213987918
Hockweiler;152;23;15.131578947368421
Hodenhagen;1428;364;25.49019607843137
Hodorf;127;22;17.322834645669293
Hof;24559;5695;23.189054928946618
Hofbieber;4397;901;20.491244030020468
Hoffeld;240;34;14.166666666666666
Hofgeismar, Stadt;9202;2044;22.212562486415997
Hofheim am Taunus, Kreisstadt;24686;2941;11.913635258851171
Hofheim i.UFr., St;3259;0;0.0
Hofkirchen, M;2437;751;30.81657775954042
Hofstetten;2562;445;17.369242779078846
Hohberg;5339;1019;19.085971155647126
Hohe Börde;12405;5086;40.999596936719065
Hohen Demzin;196;96;48.97959183673469
Hohen Neuendorf, Stadt;18768;4340;23.124467178175617
Hohen Pritz;154;91;59.09090909090909
Hohen Sprenz;282;134;47.5177304964539
Hohen Viecheln;402;169;42.039800995024876
Hohen Wangelin;284;154;54.225352112676056
Hohen-Sülzen;325;105;32.30769230769231
Hohenahr;3335;767;22.998500749625187
Hohenaltheim;381;63;16.53543307086614
Hohenaspe;1088;191;17.55514705882353
Hohenau;2349;720;30.65134099616858
Hohenberg a.d.Eger, St;933;220;23.579849946409432
Hohenberg-Krusemark;790;379;47.9746835443038
Hohenbocka;514;322;62.64591439688716
Hohenbollentin;65;25;38.46153846153846
Hohenbrunn;5372;589;10.964259121370066
Hohenbucko;335;174;51.940298507462686
Hohenburg, M;1142;303;26.532399299474605
Hohendubrau / Wysoka Dubrawa;1004;605;60.2589641434263
Hohenfelde;1478;392;26.52232746955345
Hohenfelde (in Köthel enthalten);0;0;
Hohenfelden;218;76;34.862385321100916
Hohenfels;1348;298;22.106824925816024
Hohenfels, M;1301;330;25.36510376633359
Hohenfels-Essingen;136;30;22.058823529411764
Hohenfinow;287;131;45.64459930313589
Hohenfurch;1185;259;21.856540084388186
Hohengandern;289;95;32.8719723183391
Hohenhameln;6248;1310;20.96670934699104
Hohenhorn;270;53;19.62962962962963
Hohenkammer;1637;261;15.943799633475871
Hohenkirchen;535;217;40.5607476635514
Hohenleimbach;153;31;20.26143790849673
Hohenleipisch;1038;529;50.96339113680154
Hohenleuben, Stadt;705;368;52.198581560283685
Hohenlinden;2126;383;18.015051740357478
Hohenlockstedt;2850;754;26.45614035087719
Hohenmocker;243;121;49.794238683127574
Hohenmölsen, Stadt;6037;2737;45.33708795759483
Hohenpeißenberg;2740;474;17.2992700729927
Hohenpolding;1090;265;24.31192660550459
Hohenroda;2107;597;28.334124347413383
Hohenroth;2317;0;0.0
Hohenselchow-Groß Pinnow;321;161;50.15576323987539
Hohenstadt;504;117;23.214285714285715
Hohenstein;8122;1903;23.43018960847082
Hohenstein-Ernstthal, Stadt;8940;3780;42.281879194630875
Hohentengen;2649;711;26.840317100792753
Hohentengen am Hochrhein;2217;423;19.079837618403246
Hohenthann;2860;524;18.321678321678323
Hohenwart, M;3143;739;23.512567610563156
Hohenwarte;93;52;55.913978494623656
Hohenwarth;1319;506;38.36239575435936
Hohenwestedt;2317;541;23.349158394475616
Hohenzieritz;242;110;45.45454545454545
Hohenöllen;154;60;38.96103896103896
Hohn;1485;310;20.875420875420875
Hohndorf;2352;1064;45.23809523809524
Hohne;901;204;22.641509433962263
Hohnhorst;1287;179;13.90831390831391
Hohnstein, Stadt;2081;1257;60.40365209034118
Hohnstorf (Elbe);1287;299;23.232323232323232
Hohwacht (Ostsee);381;60;15.748031496062993
Hoisdorf;1755;307;17.492877492877493
Holdorf;4777;1064;22.273393343102367
Holenberg;199;28;14.07035175879397
Holldorf;465;190;40.86021505376344
Holle;4882;826;16.919295370749694
Hollenbach;1703;335;19.67116852613036
Hollenbek;224;53;23.660714285714285
Hollenstedt;1582;366;23.13527180783818
Holler;360;78;21.666666666666668
Hollern-Twielenfleth;1544;233;15.090673575129534
Hollfeld, St;3452;654;18.94553881807648
Hollingstedt;668;156;23.353293413173652
Hollnich;110;26;23.636363636363637
Hollnseth;523;98;18.738049713193117
Hollstadt;1028;0;0.0
Holm;1782;264;14.814814814814815
Holste;775;187;24.129032258064516
Holstenniendorf;288;58;20.13888888888889
Holsthum;183;26;14.207650273224044
Holt;70;15;21.428571428571427
Holtgast;935;186;19.893048128342247
Holthusen;520;293;56.34615384615385
Holtland;1075;220;20.46511627906977
Holtsee;695;120;17.26618705035971
Holzappel;351;129;36.75213675213675
Holzbach;221;59;26.69683257918552
Holzbunge;195;19;9.743589743589743
Holzdorf;423;81;19.148936170212767
Holzen;269;53;19.702602230483272
Holzerath;195;37;18.974358974358974
Holzgerlingen, Stadt;8313;1358;16.335859497173104
Holzgünz;911;245;26.893523600439078
Holzhausen an der Haide;402;108;26.865671641791046
Holzheim;4924;1037;21.060113728675873
Holzheim a.Forst;763;177;23.197903014416777
Holzkirch;145;28;19.310344827586206
Holzkirchen;724;105;14.502762430939226
Holzkirchen, M;10291;1186;11.524633174618598
Holzmaden;1418;285;20.09873060648801
Holzminden, Stadt;11052;2433;22.01411509229099
Holzsußra;170;72;42.35294117647059
Holzwickede;11468;1844;16.07952563655389
Homberg;160;51;31.875
Homberg (Efze), Reformationsstadt, Kreisstadt;8183;2267;27.703776121226934
Homberg (Ohm), Stadt;4735;963;20.337909186906018
Homburg, Kreisstadt;23890;5114;21.406446211804102
Hommerdingen (in Kruchten enthalten);0;0;
Honerath;69;14;20.28985507246377
Honigsee;236;53;22.45762711864407
Hontheim;315;73;23.174603174603174
Hoogstede;1576;159;10.088832487309645
Hoort;337;174;51.632047477744806
Hopferau;815;149;18.282208588957054
Hoppegarten;12715;3971;31.23082972866693
Hoppenrade;344;184;53.48837209302326
Hoppstädten;150;44;29.333333333333332
Hoppstädten-Weiersbach;885;254;28.70056497175141
Hopsten;5085;665;13.077679449360865
Horath (einschl. Merschbach);186;44;23.655913978494624
Horb am Neckar, Stadt;14701;3875;26.35875110536698
Horbach;466;106;22.746781115879827
Horben;803;74;9.21544209215442
Horbruch;177;42;23.728813559322035
Horgau;2050;367;17.902439024390244
Horgenzell;3575;739;20.67132867132867
Horhausen;127;23;18.11023622047244
Horhausen (Westerwald);754;218;28.912466843501328
Horka;1166;608;52.14408233276158
Horn;174;22;12.64367816091954
Horn-Bad Meinberg, Stadt;10393;2200;21.16809390936207
Hornbach, Stadt;541;164;30.31423290203327
Hornbek;117;19;16.23931623931624
Hornberg, Stadt;2189;368;16.811329374143444
Horneburg, Flecken;3050;693;22.721311475409838
Hornstorf;597;239;40.03350083752094
Hornsömmern;92;45;48.91304347826087
Horperath;46;16;34.78260869565217
Horrweiler;368;70;19.02173913043478
Horschbach;109;33;30.275229357798164
Horst;138;33;23.91304347826087
Horst (Holstein);2782;554;19.9137311286844
Horstedt;1160;197;16.982758620689655
Horstmar, Stadt der Burgmannshöfe;4429;485;10.95055317227365
Hosenfeld;3187;791;24.819579541888924
Hosten;62;8;12.903225806451612
Hottenbach;232;47;20.25862068965517
Hoya, Stadt;1827;402;22.00328407224959
Hoyerhagen;531;112;21.092278719397363
Hoyerswerda / Wojerecy, Stadt;18851;8144;43.20195215107952
Hoßkirch;491;85;17.311608961303463
Hude (Oldb);11290;1467;12.99379982285208
Hude (einschl. Süderhöft);98;26;26.53061224489796
Huglfing;1904;288;15.126050420168067
Hugoldsdorf;60;40;66.66666666666667
Huisheim;1169;219;18.733960650128314
Huje;167;42;25.149700598802394
Hummelfeld;169;32;18.93491124260355
Hummelshain;287;121;42.1602787456446
Hummeltal;1712;254;14.836448598130842
Humptrup;416;88;21.153846153846153
Hunderdorf;2188;565;25.822669104204753
Hundhaupten;196;95;48.46938775510204
Hunding;849;197;23.2037691401649
Hundsangen;647;143;22.102009273570324
Hundsbach;177;51;28.8135593220339
Hundsdorf;168;42;25.0
Hungen, Stadt;8215;1983;24.138770541692026
Hungenroth;127;42;33.07086614173228
Hunzel;85;20;23.529411764705884
Hupperath;229;56;24.45414847161572
Hurlach;1246;301;24.15730337078652
Husby;1195;166;13.891213389121338
Husum;1191;297;24.937027707808564
Husum, Stadt;14597;1980;13.564431047475509
Hutthurm, M;4129;1181;28.60256720755631
Huy;4377;1915;43.751427918665755
Häg-Ehrsberg;543;113;20.810313075506446
Hähnichen;595;350;58.8235294117647
Hämelhausen;286;46;16.083916083916083
Härtlingen;152;51;33.55263157894737
Häusern;724;133;18.370165745856355
Häuslingen;378;83;21.95767195767196
Höchberg, M;6577;650;9.882925345902388
Höchenschwand;1439;257;17.859624739402364
Höchheim;749;0;0.0
Höchst i. Odw.;5210;1084;20.806142034548945
Höchstadt a.d.Aisch, St;9036;1899;21.01593625498008
Höchstberg;155;22;14.193548387096774
Höchstenbach;283;65;22.968197879858657
Höchstädt a.d.Donau, St;3882;1162;29.933024214322515
Höchstädt i.Fichtelgebirge;748;135;18.048128342245988
Höfen an der Enz;926;239;25.809935205183585
Högel;254;44;17.322834645669293
Högersdorf;211;52;24.644549763033176
Högsdorf;206;46;22.33009708737864
Höhbeck;340;39;11.470588235294118
Höheinöd;395;112;28.354430379746834
Höheischweiler;275;120;43.63636363636363
Höhenkirchen-Siegertsbrunn;6762;735;10.869565217391305
Höhenland;623;302;48.47512038523274
Höhfröschen;297;98;32.996632996633
Höhn;1047;361;34.47946513849092
Höhndorf;244;49;20.081967213114755
Höhr-Grenzhausen, Stadt;2569;671;26.119112495134292
Hömberg;109;28;25.68807339449541
Hönningen;286;31;10.839160839160838
Höpfingen;1975;477;24.151898734177216
Hörden am Harz;489;101;20.65439672801636
Hördt;744;251;33.736559139784944
Hörgertshausen;1347;301;22.34595397178916
Höringen;229;72;31.441048034934497
Hörnum (Sylt);357;48;13.445378151260504
Hörscheid;48;10;20.833333333333332
Hörschhausen;67;21;31.34328358208955
Hörsel;3160;1259;39.84177215189873
Hörselberg-Hainich;4090;1583;38.7041564792176
Hörstel, Stadt;13602;2146;15.777091604175856
Hörsten;33;5;15.151515151515152
Hörup;402;56;13.930348258706468
Hösbach, M;8691;1460;16.798987458290185
Höslwang;865;167;19.30635838150289
Hötensleben;2192;928;42.33576642335766
Höttingen;808;116;14.356435643564357
Hövelhof, Sennegemeinde;10736;1949;18.15387481371088
Hövels;198;70;35.35353535353536
Höxter, Stadt;18588;3136;16.871099634172584
Hübingen;232;25;10.775862068965518
Hüblingen;113;32;28.31858407079646
Hückelhoven, Stadt;22066;5240;23.74694099519623
Hückeswagen, Schloss-Stadt;9443;1874;19.845388118182782
Hüde;528;91;17.234848484848484
Hüffelsheim;488;91;18.647540983606557
Hüffenhardt;1309;401;30.634071810542398
Hüffler;196;47;23.979591836734695
Hüfingen, Stadt;4641;968;20.85757379875027
Hügelsheim;2623;1040;39.64925657643919
Hülben;1975;404;20.455696202531644
Hüllhorst;8549;2034;23.79225640425781
Hülseburg;84;53;63.095238095238095
Hülsede;578;98;16.955017301038062
Hümmel;240;47;19.583333333333332
Hümmerich;509;133;26.12966601178782
Hünfeld, Konrad-Zuse-Stadt;10644;2481;23.30890642615558
Hünfelden;6600;1328;20.12121212121212
Hünstetten;7219;1288;17.841806344369026
Hünxe;9811;1518;15.47242890632963
Hürtgenwald;6145;1021;16.61513425549227
Hürth, Stadt;36937;5157;13.961610309445813
Hürup;1351;144;10.658771280532939
Hüsby;422;58;13.744075829383887
Hütschenhausen;2442;694;28.41932841932842
Hüttblek;226;39;17.256637168141594
Hütten;169;33;19.526627218934912
Hüttenberg;7276;1274;17.509620670698187
Hütterscheid;51;8;15.686274509803921
Hüttingen an der Kyll;116;40;34.48275862068966
Hüttingen bei Lahr;44;7;15.909090909090908
Hüttisheim;1018;214;21.021611001964637
Hüttlingen;4039;678;16.786333250804656
Hüven;320;26;8.125
Ibach;257;56;21.78988326848249
Ibbenbüren, Stadt;33381;5575;16.701117402114974
Ichenhausen, St;4781;1257;26.291570801087637
Icking;2491;267;10.71858691288639
Idar-Oberstein, Stadt;16190;4381;27.05991352686844
Idelberg;33;5;15.151515151515152
Iden;489;208;42.535787321063395
Idenheim;140;21;15.0
Idesheim;167;31;18.562874251497007
Idstedt;446;88;19.730941704035875
Idstein, Hochschulstadt;15833;2072;13.086591296658877
Iffeldorf;1847;165;8.933405522468869
Iffezheim;3312;602;18.17632850241546
Igel;640;108;16.875
Igensdorf, M;3577;676;18.898518311434163
Igersheim;3594;710;19.755147468002225
Iggensbach;1460;465;31.84931506849315
Iggingen;1802;409;22.69700332963374
Igling;1753;281;16.029663434112948
Ihlienworth;737;180;24.423337856173678
Ihlow;9174;1962;21.386527141922826
Ihringen;4136;580;14.02321083172147
Ihrlerstein;2934;718;24.47171097477846
Ilberstedt;713;377;52.87517531556802
Ilbesheim;386;93;24.093264248704664
Ilbesheim bei Landau in der Pfalz;386;74;19.17098445595855
Illerich;261;48;18.39080459770115
Illerkirchberg;3175;546;17.19685039370079
Illerrieden;2222;481;21.647164716471647
Illertissen, St;10835;2637;24.33779418550992
Illesheim;612;125;20.424836601307188
Illingen;15572;3222;20.69098381710763
Illmensee;1352;291;21.523668639053255
Illschwang;1531;296;19.333768778576093
Ilmenau, Stadt;23258;8810;37.879439332702724
Ilmmünster;1516;272;17.941952506596305
Ilmtal-Weinstraße;4526;1778;39.28413610251878
Ilsede;14434;2995;20.74961895524456
Ilsenburg (Harz), Stadt;6409;1878;29.302543298486505
Ilsfeld;5800;1147;19.775862068965516
Ilshofen, Stadt;4207;1028;24.435464701687664
Ilvesheim;5774;895;15.500519570488397
Immendingen;3551;1070;30.13235708251197
Immenhausen, Stadt;4671;967;20.702205095268678
Immenreuth;1242;295;23.752012882447666
Immenstaad am Bodensee;4080;668;16.372549019607842
Immenstadt i.Allgäu, St;8408;1421;16.900570884871552
Immenstedt;390;69;17.692307692307693
Immerath;109;23;21.10091743119266
Immert;69;12;17.391304347826086
Immesheim;66;18;27.272727272727273
Impflingen;399;78;19.548872180451127
Imsbach;327;89;27.217125382262996
Imsweiler;360;102;28.333333333333332
Inchenhofen, M;1760;427;24.261363636363637
Inden;4979;1079;21.671018276762403
Ingelbach;214;36;16.822429906542055
Ingelfingen, Stadt;3423;769;22.465673385918784
Ingelheim am Rhein, Stadt;21949;2827;12.879857852293954
Ingendorf;80;19;23.75
Ingenried;741;129;17.408906882591094
Ingersheim;3734;733;19.630423138725227
Ingersleben;849;394;46.4075382803298
Ingoldingen;2065;429;20.774818401937047
Ingolstadt;67325;12869;19.114741923505385
Innernzell;1052;339;32.22433460076046
Inning a.Ammersee;3069;303;9.872922776148583
Inning a.Holz;1052;207;19.67680608365019
Insel Hiddensee, Seebad;298;89;29.86577181208054
Insel Poel, Ostseebad;1838;595;32.3721436343852
Insheim;655;179;27.328244274809162
Insingen;765;172;22.483660130718953
Insul;176;37;21.022727272727273
Inzell;3143;486;15.46293350302259
Inzigkofen;1928;427;22.147302904564317
Inzlingen;1616;216;13.366336633663366
Iphofen, St;3332;524;15.726290516206483
Ippenschied;89;18;20.224719101123597
Ippesheim, M;786;115;14.631043256997456
Ipsheim, M;1525;300;19.672131147540984
Irchenrieth;983;206;20.956256358087487
Irlbach;765;144;18.823529411764707
Irmenach;220;34;15.454545454545455
Irmtraut;262;77;29.389312977099237
Irndorf;508;136;26.771653543307085
Irrel;400;91;22.75
Irrhausen;66;11;16.666666666666668
Irsch;348;80;22.988505747126435
Irschenberg;2089;516;24.700813786500717
Irsee, M;1094;157;14.351005484460694
Isen, M;3673;567;15.436972502041927
Isenburg;225;64;28.444444444444443
Isenbüttel;2785;686;24.631956912028727
Iserlohn, Stadt;51052;10492;20.55159445271488
Isernhagen;15856;2112;13.319878910191726
Isert;54;18;33.333333333333336
Ismaning;10739;1193;11.109041810224415
Isny im Allgäu, Stadt;8637;1525;17.65659372467292
Ispringen;3432;886;25.815850815850816
Isselbach;188;57;30.319148936170212
Isselburg, Stadt;6657;1004;15.081868709628962
Issigau;706;177;25.070821529745043
Issum;8487;1274;15.011193590196772
Isterberg;324;24;7.407407407407407
Itterbeck;860;74;8.604651162790697
Ittlingen;1472;391;26.5625
Itzehoe, Stadt;18443;3649;19.785284389741367
Itzgrund;1705;360;21.114369501466275
Itzstedt;1326;310;23.378582202111613
Iven;89;37;41.57303370786517
Ivenack;342;182;53.21637426900585
Jabel;392;186;47.44897959183673
Jachenau;588;77;13.095238095238095
Jacobsdorf;968;458;47.31404958677686
Jade;4067;761;18.71158101794935
Jagel;587;159;27.086882453151617
Jagsthausen;857;206;24.037339556592766
Jagstzell;1629;350;21.485573971761816
Jahnatal;3135;1651;52.66347687400319
Jahnsdorf/Erzgeb.;3610;1682;46.59279778393352
Jahrsdorf;123;24;19.51219512195122
Jakobsdorf;236;119;50.42372881355932
Jakobsweiler;164;42;25.609756097560975
Jameln;479;78;16.2839248434238
Jamlitz;288;137;47.56944444444444
Jandelsbrunn;2358;756;32.06106870229008
Janneby;245;42;17.142857142857142
Jardelund;183;45;24.59016393442623
Jarmen, Stadt;1218;685;56.23973727422003
Jatznick;1114;623;55.9245960502693
Jeckenbach;83;23;27.710843373493976
Jelmstorf;373;90;24.128686327077748
Jembke;904;231;25.553097345132745
Jemgum;2421;453;18.711276332094176
