Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Altwarp, Fischerdorf;253;134;52.96442687747036
Altweidelbach;127;18;14.173228346456693
Altwigshagen;180;79;43.888888888888886
Altötting, St;6922;1863;26.914186651256863
Alveslohe;1411;312;22.1119773210489
Alzenau, St;12554;1668;13.286601879878923
Alzey, Stadt;10636;2355;22.14178262504701
Am Ettersberg;4022;1895;47.11586275484834
Am Großen Bruch;1370;664;48.46715328467153
Am Mellensee;5088;2040;40.094339622641506
Am Ohmberg;2356;935;39.68590831918506
Am Salzhaff;282;108;38.297872340425535
Amberg;25633;6216;24.249990246947295
Amelinghausen;1917;386;20.13562858633281
Amerang;2598;425;16.358737490377212
Amerdingen;584;97;16.60958904109589
Ammeldingen an der Our (in Wallendorf enthalten);0;0;
Ammeldingen bei Neuerburg;79;11;13.924050632911392
Ammerbuch;7481;1142;15.265338858441385
Ammerndorf, M;1405;299;21.281138790035588
Ammersbek;6808;807;11.853701527614572
Ammerthal;1480;328;22.16216216216216
Amorbach, St;2430;390;16.049382716049383
Ampfing;4181;987;23.606792633341307
Amstetten;2437;579;23.758719737382027
Amt Creuzburg, Stadt;2339;983;42.02650705429671
Amt Neuhaus;3109;868;27.918944998391765
Amt Wachsenburg;5438;2301;42.31335049650607
Amtsberg;2568;987;38.43457943925234
Amtzell;2828;409;14.462517680339463
Amöneburg, Stadt;3517;593;16.86096104634632
An der Poststraße;1092;566;51.83150183150183
An der Schmücke, Stadt;2881;1634;56.71641791044776
Andechs;2342;294;12.553373185311699
Anderlingen;502;62;12.350597609561753
Andernach, Stadt;17439;4138;23.728424794999714
Andervenne;506;51;10.079051383399209
Andisleben;358;169;47.20670391061452
Angelbachtal;3232;739;22.86509900990099
Angelburg;2143;611;28.511432571161922
Anger;2863;571;19.94411456514146
Angermünde, Stadt;8900;3523;39.58426966292135
Angern;1318;558;42.33687405159332
Anhausen;898;221;24.610244988864142
Ankershagen, Schliemanngemeinde;304;157;51.64473684210526
Anklam, Hansestadt;7076;3348;47.31486715658564
Ankum;3409;940;27.57406864183045
Annaberg-Buchholz, Stadt;11440;5147;44.99125874125874
Annaburg, Stadt;4041;1880;46.52313783716902
Annweiler am Trifels, Stadt;1878;533;28.38125665601704
Anröchte;6881;1572;22.845516640023252
Ansbach;23378;5451;23.316793566601078
Anschau;128;22;17.1875
Antdorf;905;132;14.585635359116022
Antrifttal;1317;302;22.93090356871678
Antweiler;191;36;18.848167539267017
Anzing;2799;376;13.433369060378707
Apelern;1288;291;22.593167701863354
Apen;7884;1686;21.385083713850836
Apenburg-Winterfeld, Flecken;1085;460;42.3963133640553
Apensen;2214;396;17.88617886178862
Apfeldorf;855;116;13.567251461988304
Apfeltrach;642;214;33.333333333333336
Apolda, Stadt;12522;5154;41.159559175850504
Appel;995;219;22.01005025125628
Appen;2298;389;16.927763272410793
Appenheim;552;91;16.485507246376812
Appenweier;6356;1283;20.185651353052233
Arbach;78;18;23.076923076923077
Arberg, M;1542;337;21.85473411154345
Aremberg;94;9;9.574468085106384
Arendsee (Altmark), Stadt;4231;1647;38.926967619948
Arenrath;137;39;28.467153284671532
Arenshausen;493;197;39.95943204868154
Aresing;2119;453;21.37800849457291
Arft;105;19;18.095238095238095
Argenbühl;4362;728;16.6895919303072
Argenschwang;125;32;25.6
Argenthal;622;174;27.974276527331188
Arholzen;197;39;19.79695431472081
Arkebek (einschl. Schrum);170;32;18.823529411764707
Arlewatt;213;29;13.615023474178404
Armsheim;1053;250;23.741690408357076
Armstedt;253;56;22.134387351778656
Armstorf;406;86;21.182266009852217
Arnbruck;1380;443;32.10144927536232
Arneburg, Stadt;976;416;42.622950819672134
Arnis, Stadt;153;1;0.6535947712418301
Arnsberg, Stadt;45065;7673;17.026517252856983
Arnschwang;1350;383;28.37037037037037
Arnsdorf;3218;1478;45.92914853946551
Arnshöfen;69;14;20.28985507246377
Arnstadt, Stadt;15751;6496;41.24182591581487
Arnstein, St;5534;907;16.389591615468017
Arnstein, Stadt;4175;1939;46.44311377245509
Arnstorf, M;3927;839;21.364909600203717
Arpsdorf;178;44;24.719101123595507
Arrach;1696;624;36.79245283018868
Artern, Stadt;2768;1383;49.963872832369944
Artlenburg, Flecken;987;289;29.2806484295846
Arzbach;559;106;18.962432915921287
Arzberg;1183;635;53.6770921386306
Arzberg, St;3138;930;29.636711281070745
Arzfeld;301;58;19.269102990033222
Asbach;4896;966;19.730392156862745
Asbach-Bäumenheim;2603;502;19.285439877064924
Asbach-Sickenberg;67;19;28.35820895522388
Ascha;1102;262;23.77495462794918
Aschaffenburg;40728;7504;18.42467098801807
Aschau a.Inn;2057;519;25.230918813806515
Aschau i.Chiemgau;3893;506;12.997688158232725
Aschbach;140;37;26.428571428571427
Ascheberg;10337;1215;11.753893779626583
Ascheberg (Holstein);2119;349;16.47003303445021
Ascheffel;488;82;16.80327868852459
Aschersleben, Stadt;15485;6563;42.38295124313852
Aschheim;5408;671;12.407544378698224
Asendorf;2529;504;19.9288256227758
Aspach;4914;1156;23.524623524623525
Asperg, Stadt;7533;1220;16.19540687641046
Aspisheim;353;71;20.113314447592067
Assamstadt;1527;336;22.00392927308448
Asselfingen;533;119;22.326454033771107
Astert;117;9;7.6923076923076925
Attendorn, Hansestadt;14595;2376;16.27954779033916
Attenhausen;150;39;26.0
Attenhofen;943;233;24.708377518557793
Attenkirchen;1756;316;17.995444191343964
Attenweiler;1298;225;17.334360554699536
Atting;1202;228;18.96838602329451
Atzelgift;266;57;21.428571428571427
Au;1058;95;8.979206049149338
Au am Rhein;2296;459;19.99128919860627
Au i.d.Hallertau, M;3753;743;19.797495337063683
Aub, St;916;132;14.410480349344978
Aubstadt;527;0;0.0
Auderath;258;80;31.007751937984494
Aue-Bad Schlema, Stadt;11951;5571;46.61534599615095
Auel;62;7;11.290322580645162
Auen;98;18;18.367346938775512
Auengrund;1596;822;51.50375939849624
Auenwald;4425;1122;25.35593220338983
Auerbach;3005;1230;40.93178036605657
Auerbach i.d.OPf., St;5556;1015;18.268538516918646
Auerbach/Vogtl., Stadt;11161;4630;41.48373801630678
Auetal;4226;1107;26.194983435873166
Aufhausen;1296;279;21.52777777777778
Aufseß;928;183;19.719827586206897
Auggen;1684;310;18.40855106888361
Augsburg;147299;25488;17.303579793481287
Augustdorf;5182;1949;37.61096101891162
Augustusburg, Stadt;3039;1359;44.71865745310958
Auhagen;674;149;22.106824925816024
Auhausen;772;156;20.207253886010363
Aukrug;1948;333;17.094455852156056
Aulendorf, Stadt;6188;1795;29.00775694893342
Aull;170;41;24.11764705882353
Auma-Weidatal, Stadt;2240;1052;46.964285714285715
Aumühle;1340;139;10.373134328358208
Aura a.d.Saale;615;0;0.0
Aura i.Sinngrund;668;184;27.54491017964072
Aurach;2118;477;22.521246458923514
Aurachtal;2016;350;17.36111111111111
Aurich, Stadt;26849;4681;17.434541323699207
Ausacker;315;45;14.285714285714286
Ausleben;1035;532;51.40096618357488
Auw an der Kyll;59;19;32.20338983050848
Auw bei Prüm;208;35;16.826923076923077
Außernzell;987;303;30.699088145896656
Aventoft;207;32;15.458937198067632
Averlak;333;139;41.74174174174174
Axstedt;574;123;21.428571428571427
Aying;3433;537;15.642295368482378
Ayl;458;93;20.305676855895197
Aystetten;2052;321;15.64327485380117
Aßlar, Stadt;7522;1945;25.857484711512896
Aßling;3108;579;18.62934362934363
Baabe, Ostseebad;385;168;43.63636363636363
Baar;288;47;16.319444444444443
Baar (Schwaben);821;205;24.96954933008526
Baar-Ebenhausen;3420;872;25.497076023391813
Babenhausen, M;3312;811;24.48671497584541
Babenhausen, Stadt;9615;1937;20.14560582423297
Babensham;2127;341;16.03196991067231
Bach a.d.Donau;1221;271;22.194922194922196
Bacharach, Stadt;664;141;21.234939759036145
Bachenberg;33;4;12.121212121212121
Bachhagel;1619;463;28.59789993823348
Backnang, Stadt;19220;4439;23.09573361082206
Bad Abbach, M;7967;1643;20.622568093385215
Bad Aibling, St;12040;2187;18.164451827242527
Bad Alexandersbad;589;147;24.95755517826825
Bad Arolsen, Stadt;9485;2059;21.707959936742224
Bad Bayersoien;879;135;15.358361774744028
Bad Bellingen;2750;559;20.327272727272728
Bad Belzig, Stadt;6946;2097;30.19003743161532
Bad Bentheim, Stadt;8756;1210;13.819095477386934
Bad Bergzabern, Stadt;2294;829;36.137750653879685
Bad Berka, Stadt;4728;1673;35.38494077834179
Bad Berleburg, Stadt;12086;2591;21.438027469799767
Bad Berneck i.Fichtelgebirge, St;2605;661;25.374280230326296
Bad Bertrich;336;71;21.13095238095238
Bad Bevensen, Stadt;4316;836;19.369786839666357
Bad Bibra, Stadt;1601;705;44.034978138663334
Bad Birnbach, M;3819;716;18.748363445928252
Bad Blankenburg, Stadt;3784;1720;45.45454545454545
Bad Bocklet, M;2952;0;0.0
Bad Bodenteich, Flecken;1881;509;27.060074428495483
Bad Boll;3321;586;17.645287563986752
Bad Brambach;1101;495;44.9591280653951
Bad Bramstedt, Stadt;8865;1687;19.029892836999437
Bad Breisig, Stadt;2851;712;24.973693440897932
Bad Brückenau, St;3364;0;0.0
Bad Buchau, Stadt;1441;466;32.33865371269951
Bad Camberg, Stadt;8963;1284;14.325560638179182
Bad Ditzenbach;2345;536;22.857142857142858
Bad Doberan, Stadt;8232;2488;30.22351797862002
Bad Driburg, Stadt;11983;2651;22.12300759409163
Bad Düben, Stadt;4966;1876;37.776882803060815
Bad Dürkheim, Stadt;11840;1746;14.746621621621621
Bad Dürrenberg, Solestadt;6889;3033;44.02670924662505
Bad Dürrheim, Stadt;7991;1897;23.739206607433363
Bad Eilsen;990;268;27.07070707070707
Bad Elster, Stadt;2268;874;38.53615520282187
Bad Ems, Stadt;4709;1238;26.290082820131662
Bad Emstal;3761;857;22.786492954001595
Bad Endbach;4894;1401;28.626890069472825
Bad Endorf, M;5017;892;17.779549531592586
Bad Essen;9928;2240;22.562449637389204
Bad Fallingbostel, Stadt;7139;1439;20.156884717747584
Bad Feilnbach;5423;1287;23.732251521298174
Bad Frankenhausen/Kyffhäuser, Stadt;6123;2988;48.799608035276826
Bad Freienwalde (Oder), Stadt;7289;3212;44.066401426807516
Bad Friedrichshall, Stadt;10112;2852;28.204113924050635
Bad Füssing;4752;1050;22.095959595959595
Bad Gandersheim, Stadt;6007;1138;18.944564674546363
Bad Gottleuba-Berggießhübel, Stadt;3661;2035;55.5859054903032
Bad Griesbach i.Rottal, St;5107;1409;27.589582925396513
Bad Grund (Harz);5224;1037;19.850689127105667
Bad Grönenbach, M;3688;689;18.682212581344903
Bad Harzburg, Stadt;13340;2814;21.09445277361319
Bad Heilbrunn;2546;485;19.049489395129616
Bad Herrenalb, Stadt;4557;1123;24.643405749396532
Bad Hersfeld, Kreisstadt;16067;3772;23.476691354951143
Bad Hindelang, M;3394;385;11.343547436652917
Bad Homburg v. d. Höhe, Stadt;30208;3771;12.483448093220339
Bad Honnef, Stadt;16064;1798;11.19272908366534
Bad Hönningen, Stadt;3327;568;17.07243763149985
Bad Iburg, Stadt;7292;930;12.753702687877126
Bad Karlshafen, Stadt;2043;405;19.823788546255507
Bad Kissingen, GKSt;12973;0;0.0
Bad Kleinen;1842;768;41.693811074918564
Bad Klosterlausnitz;2362;790;33.44623200677392
Bad Kohlgrub;1715;310;18.075801749271136
Bad Kreuznach, Stadt;26306;4918;18.69535467193796
Bad Krozingen, Stadt;12214;2028;16.6038971671852
Bad König, Stadt;5599;1146;20.46794070369709
Bad Königshofen i.Grabfeld, St;3740;0;0.0
Bad Köstritz, Stadt;1885;926;49.12466843501326
Bad Kötzting, St;4696;1220;25.979557069846678
Bad Laasphe, Stadt;8663;2004;23.132863903959368
Bad Laer;5947;891;14.982344039011267
